RRT
4135
1214
1472
1422
1457
1728
1476
1542
867
1739
557
1710
1662
2376
2048
1700
731
1584
1771
1268
1233
1302
1420
1634
817
1333
815
1206
1761
1494
1793
1750
1479
1246
1639
1857
1225
729
1522
1483
1672
1230
1522
1419
1608
1268
1580
1166
1405
1444
2162
1631
1129
1492
1513
1185
1614
1681
1295
1465
1367
1363
822
880
840
933
613
841
756
760
776
732
1449
1425
1550
1664
1641
1281
1437
1151
1167
1544
1521
1386
1920
1310
1465
1699
1439
1659
1888
1513
1760
2098
2130
1695
2060
1699
1367
1617
1410
1433
1463
1486
1483
1693
1512
1434
1567
1581
1410
1684
1756
1787
1759
786
1093
933
1549
825
1012
1742
1039
877
937
1006
665
3022
686
1637
1930
1791
1887
1585
2118
1266
1839
1065
881
2449
1845
1561
2551
2076
1579
1723
2591
1990
1597
1983
1587
1296
3266
2666
1615
1144
835
3394
1100
1699
2896
1204
888
1229
913
1683
1771
2202
885
4401
1889
875
875
3363
999
3108
1873
1767
5275
2879
2000
1577
2448
2238
1860
2632
1898
1205
2680
2615
2477
1956
1827
2569
5184
1928
3363
1999
2769
1684
1703
1509
2064
2142
2977
3189
1817
1973
2229
1051
836
2146
3304
1957
1900
2464
751
2083
2206
1503
1647
1608
1610
1475
1673
1734
891
1017
845
550
1610
1710
1134
1237
965
1737
2013
1662
1900
1766
2275
1758
1531
2295
1627
1476
682
1421
1495
2124
4830
1663
1542
1068
2140
1179
757
2685
1811
2767
1627
1863
580
1110
756
583
617
815
1176
513
833
503
750
897
1071
588
759
705
1060
572
843
679
763
758
849
716
953
1396
1606
1430
1430
1521
2701
806
1684
1828
1894
926
1697
1593
1839
1569
1637
1178
1662
1726
1456
1638
2254
1365
1514
1636
1345
1693
563
871
1480
585
908
565
1527
1661
1470
1847
1650
1423
1525
1391
1624
1717
1484
1577
1729
1756
2499
1763
5622
2518
1569
1779
1923
1567
1886
1782
1536
2476
2066
1690
2822
1883
1534
1801
1810
1602
1587
1599
1779
1739
1596
1539
1956
2070
2031
1682
1920
1877
766
604
1762
1124
1714
2128
2317
1743
1606
2111
2097
1799
1905
1826
2319
2183
1732
2633
1699
2102
1552
2168
1846
1842
2244
776
1823
1770
1452
1577
1686
2094
2648
1384
1620
1657
604
1103
1867
1888
3012
2119
1949
1798
1471
1933
2609
2786
2775
1984
1646
1743
2009
1786
30344
1934
2043
1004
1471
671
2037
667
521
2323
949
1699
695
1553
1414
1056
1539
1812
658
2526
1789
1904
999
1145
2509
1682
1809
2133
1645
930
1762
1366
2198
1341
1982
2121
2351
2070
1361
891
1771
3566
553
1063
848
1917
1447
1014
20336
8602
930
1678
795
874
1438
5447
793
1083
899
5929
1832
941
940
537
1175
543
695
1064
750
816
843
740
3159
692
1179
578
